album_name,artist_name,album_id,cover_url
Évidemment,La Zarra,1V6nmlYGcUbCOfzfhofGPI,https://i.scdn.co/image/ab67616d0000b27390509ba258796b2d03855ca6
Peaceful Ghost,Salvador,0F5PTu1lq5AbjV8ZSr7Qzx,https://i.scdn.co/image/ab67616d0000b2731f615fadeae4485044f0181c
The Divine Feminine,Mac Miller,6f6tko6NWoH00cyFOl4VYQ,https://i.scdn.co/image/ab67616d0000b2732e92f776279eaf45d14a33fd
Boyfriend,Dove Cameron,4jUfPmvZGiRRJwULbfk1dc,https://i.scdn.co/image/ab67616d0000b2730397f50cb9dc5393db5d08bc
For My Friends,Jacob Banks,4B3jvFJWTYsVcLGoepXhX0,https://i.scdn.co/image/ab67616d0000b2737e4e80c1d23664eec3e1c17a
Maple Leaf Latte,Mister Decaf,66lquv9uyhpR3ngnNdVdAT,https://i.scdn.co/image/ab67616d0000b2733f26a990dd8bc646090e0fdf
Houdini,Dua Lipa,2p44KTPcAqLaI7zTI2K70R,https://i.scdn.co/image/ab67616d0000b27376d072a590e154ca76e1df26
Tongues / Puppy Knuckles,The Frights,3q59LHQOMCPR5DDXOQnnhE,https://i.scdn.co/image/ab67616d0000b2733f5db354414f1232e699033b
Naturally,Sharon Jones & The Dap-Kings,5io1OKXglvIexVDrBXxuF4,https://i.scdn.co/image/ab67616d0000b273df3758942cfbd400814b09b2
Tea Time,Lofi Lucy,05QN2CIl9ZKcZ54XesMqxJ,https://i.scdn.co/image/ab67616d0000b2733e220df6c59c9443d8250fad
Электрошаурма,MOZGI,2JNLXeoad3SFJqyl9XqYmq,https://i.scdn.co/image/ab67616d0000b273aad3355accbf191823d8e9db
MEGAN,Megan Thee Stallion,0FzWvaeMBfKBCqxHTLVlB8,https://i.scdn.co/image/ab67616d0000b2732538afd3580d0424bbe28a01
B4 The Storm,Internet Money,4Y5lQYgpDrkyru90jltD5a,https://i.scdn.co/image/ab67616d0000b273c4adc981dc6656e52c916088
Always Home,Mildred,6tw0yHvZKuzRWG9Rpby4lu,https://i.scdn.co/image/ab67616d0000b27382b0951fbb921077add2c6ab
